model,perturbation,real_delta_norm,pred_delta_norm,norm_ratio,abs_ratio,top20_sign,top20_recall
VAE,CABIN1,2.5412745,1.5693212,0.6175331,0.5573072,1.0,0.4
VAE,CACTIN,9.674251,8.708302,0.90015256,0.9099746,1.0,0.5
VAE,CADM4,1.7966632,0.7811801,0.43479496,0.3435843,0.9,0.15
VAE,CALR,3.4101715,1.6585606,0.48635694,0.5800278,1.0,0.4
VAE,CASC3,5.0008264,3.9901888,0.7979059,0.66083896,0.95,0.65
VAE,CBX1,2.2972825,0.8458704,0.36820477,0.29433408,0.8,0.15
VAE,CCAR1,3.2702346,1.8402684,0.5627328,0.45313662,0.95,0.4
VAE,CCDC115,2.1033487,1.0287466,0.4890994,0.39355186,0.9,0.6
VAE,CCDC174,3.8727174,2.770812,0.7154697,0.6418479,1.0,0.45
VAE,CCDC59,2.6367536,2.0784955,0.7882783,0.6522681,1.0,0.85
VAE,CCDC6,1.7449094,1.1830124,0.67797923,0.60946214,0.9,0.45
VAE,CCDC86,7.957981,6.8541636,0.86129427,0.7883707,1.0,0.75
VAE,CCNB1,2.8039417,1.2740577,0.45438096,0.37797353,0.85,0.25
VAE,CCNC,3.4042609,2.0828846,0.6118463,0.5648402,1.0,0.4
VAE,CCND3,2.4929276,0.8956737,0.3592859,0.29744834,0.9,0.1
VAE,CCNH,2.837464,2.0593255,0.72576267,0.6410888,1.0,0.55
VAE,CCP110,2.5641975,1.3304595,0.51886,0.40524244,1.0,0.55
VAE,CCT2,8.164341,7.0984163,0.86944145,0.8453251,1.0,0.7
VAE,CCT3,8.387892,7.1405344,0.8512907,0.8257992,1.0,0.75
VAE,CCT4,5.770814,4.8234143,0.83582914,0.80050385,1.0,0.65
VAE,CCT5,6.7802086,5.714939,0.84288543,0.8064158,1.0,0.65
VAE,CCT6A,6.8315024,5.756892,0.8426978,0.8204082,1.0,0.6
